[2021-08-18 20:38:12.036] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/json-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/json-language-features/package.json'
[2021-08-18 20:38:12.049] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html-language-features/package.json'
[2021-08-18 20:38:12.055] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/json/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/json/package.json'
[2021-08-18 20:38:12.103] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/yaml/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/yaml/package.json'
[2021-08-18 20:38:12.110] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/cpp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/cpp/package.json'
[2021-08-18 20:38:12.113] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json'
[2021-08-18 20:38:12.116] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css/package.json'
[2021-08-18 20:38:12.119] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/markdown-basics/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/markdown-basics/package.json'
[2021-08-18 20:38:12.122] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/docker/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/docker/package.json'
[2021-08-18 20:38:12.124] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/javascript/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/javascript/package.json'
[2021-08-18 20:38:12.130] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/java/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/java/package.json'
[2021-08-18 20:38:12.132] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/log/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/log/package.json'
[2021-08-18 20:38:12.135] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json'
[2021-08-18 20:38:12.138] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json'
[2021-08-18 20:38:12.144] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/make/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/make/package.json'
[2021-08-18 20:38:12.149] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/less/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/less/package.json'
[2021-08-18 20:38:12.153] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/handlebars/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/handlebars/package.json'
[2021-08-18 20:38:12.156] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/go/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/go/package.json'
[2021-08-18 20:38:12.162] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json'
[2021-08-18 20:38:12.166] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/clojure/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/clojure/package.json'
[2021-08-18 20:38:12.170] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/coffeescript/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/coffeescript/package.json'
[2021-08-18 20:38:12.173] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/emmet/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/emmet/package.json'
[2021-08-18 20:38:12.176] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/groovy/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/groovy/package.json'
[2021-08-18 20:38:12.179] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/grunt/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/grunt/package.json'
